GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2)
-1357676146,Catan,23,GAME_OVER,450,3,4,32,Catan_3,6.0,2.0,9.0,4.0,PhaseBasedEnsemblePlayer,Catan,Catan_2,2,Catan_3,2,4,4,1,1,3,PhaseBasedEnsemblePlayer,3,Catan,Catan_2,PhaseBasedEnsemblePlayer,Catan_3,Catan_2,Catan
1782053333,Catan,28,GAME_OVER,571,3,4,33,Catan_2,5.0,4.0,10.0,8.0,Catan_3,PhaseBasedEnsemblePlayer,Catan,3,Catan_2,3,4,4,1,1,2,Catan_3,2,PhaseBasedEnsemblePlayer,Catan,Catan_3,Catan_2,Catan,PhaseBasedEnsemblePlayer
1436182518,Catan,29,GAME_OVER,589,2,4,34,Catan,9.0,4.0,4.0,9.0,Catan_2,PhaseBasedEnsemblePlayer,Catan_3,1,Catan,1,3,3,3,3,1,Catan_2,1,PhaseBasedEnsemblePlayer,Catan_3,Catan_2,Catan,Catan_3,PhaseBasedEnsemblePlayer
1910070858,Catan,27,GAME_OVER,566,3,4,35,Catan,8.0,4.0,10.0,5.0,PhaseBasedEnsemblePlayer,Catan_3,Catan_2,2,Catan,2,4,4,1,1,3,PhaseBasedEnsemblePlayer,3,Catan_3,Catan_2,PhaseBasedEnsemblePlayer,Catan,Catan_2,Catan_3
200891497,Catan,28,GAME_OVER,573,2,4,36,Catan_3,5.0,6.0,8.0,9.0,Catan,PhaseBasedEnsemblePlayer,Catan_2,4,Catan_3,4,3,3,2,2,1,Catan,1,PhaseBasedEnsemblePlayer,Catan_2,Catan,Catan_3,Catan_2,PhaseBasedEnsemblePlayer
-894017235,Catan,30,GAME_OVER,617,3,4,37,Catan_3,4.0,4.0,9.0,8.0,PhaseBasedEnsemblePlayer,Catan,Catan_2,3,Catan_3,3,3,3,1,1,2,PhaseBasedEnsemblePlayer,2,Catan,Catan_2,PhaseBasedEnsemblePlayer,Catan_3,Catan_2,Catan
1186973292,Catan,23,GAME_OVER,455,1,4,38,PhaseBasedEnsemblePlayer,10.0,4.0,5.0,4.0,Catan_2,Catan_3,Catan,1,PhaseBasedEnsemblePlayer,1,3,3,2,2,3,Catan_2,3,Catan_3,Catan,Catan_2,PhaseBasedEnsemblePlayer,Catan,Catan_3
352262180,Catan,22,GAME_OVER,440,2,4,39,PhaseBasedEnsemblePlayer,5.0,6.0,4.0,9.0,Catan_2,Catan_3,Catan,3,PhaseBasedEnsemblePlayer,3,2,2,4,4,1,Catan_2,1,Catan_3,Catan,Catan_2,PhaseBasedEnsemblePlayer,Catan,Catan_3
1276603973,Catan,17,GAME_OVER,347,2,4,40,Catan,5.0,2.0,6.0,9.0,PhaseBasedEnsemblePlayer,Catan_3,Catan_2,3,Catan,3,4,4,2,2,1,PhaseBasedEnsemblePlayer,1,Catan_3,Catan_2,PhaseBasedEnsemblePlayer,Catan,Catan_2,Catan_3
-1203618642,Catan,24,GAME_OVER,479,2,4,41,Catan,4.0,4.0,5.0,10.0,Catan_3,PhaseBasedEnsemblePlayer,Catan_2,3,Catan,3,3,3,2,2,1,Catan_3,1,PhaseBasedEnsemblePlayer,Catan_2,Catan_3,Catan,Catan_2,PhaseBasedEnsemblePlayer
1300167002,Catan,15,GAME_OVER,281,1,4,42,Catan_3,10.0,2.0,3.0,4.0,PhaseBasedEnsemblePlayer,Catan_2,Catan,1,Catan_3,1,4,4,3,3,2,PhaseBasedEnsemblePlayer,2,Catan_2,Catan,PhaseBasedEnsemblePlayer,Catan_3,Catan,Catan_2
832300036,Catan,25,GAME_OVER,466,0,4,43,PhaseBasedEnsemblePlayer,3.0,10.0,8.0,4.0,Catan_2,Catan,Catan_3,4,PhaseBasedEnsemblePlayer,4,1,1,2,2,3,Catan_2,3,Catan,Catan_3,Catan_2,PhaseBasedEnsemblePlayer,Catan_3,Catan
558780709,Catan,39,GAME_OVER,797,3,4,44,Catan,4.0,6.0,10.0,6.0,PhaseBasedEnsemblePlayer,Catan_3,Catan_2,4,Catan,4,2,2,1,1,2,PhaseBasedEnsemblePlayer,2,Catan_3,Catan_2,PhaseBasedEnsemblePlayer,Catan,Catan_2,Catan_3
969497902,Catan,26,GAME_OVER,526,1,4,45,PhaseBasedEnsemblePlayer,10.0,4.0,6.0,8.0,Catan_2,Catan,Catan_3,1,PhaseBasedEnsemblePlayer,1,4,4,3,3,2,Catan_2,2,Catan,Catan_3,Catan_2,PhaseBasedEnsemblePlayer,Catan_3,Catan
1796651489,Catan,38,GAME_OVER,781,1,4,46,Catan,10.0,6.0,9.0,4.0,Catan_3,PhaseBasedEnsemblePlayer,Catan_2,1,Catan,1,3,3,2,2,4,Catan_3,4,PhaseBasedEnsemblePlayer,Catan_2,Catan_3,Catan,Catan_2,PhaseBasedEnsemblePlayer
2014857667,Catan,16,GAME_OVER,307,1,4,47,Catan_3,11.0,2.0,4.0,4.0,PhaseBasedEnsemblePlayer,Catan_2,Catan,1,Catan_3,1,4,4,2,2,2,PhaseBasedEnsemblePlayer,2,Catan_2,Catan,PhaseBasedEnsemblePlayer,Catan_3,Catan,Catan_2
1440397611,Catan,24,GAME_OVER,485,3,4,48,PhaseBasedEnsemblePlayer,6.0,4.0,10.0,4.0,Catan,Catan_2,Catan_3,2,PhaseBasedEnsemblePlayer,2,3,3,1,1,3,Catan,3,Catan_2,Catan_3,Catan,PhaseBasedEnsemblePlayer,Catan_3,Catan_2
1592483845,Catan,18,GAME_OVER,363,3,4,49,Catan,2.0,4.0,10.0,4.0,Catan_3,Catan_2,PhaseBasedEnsemblePlayer,4,Catan,4,2,2,1,1,2,Catan_3,2,Catan_2,PhaseBasedEnsemblePlayer,Catan_3,Catan,PhaseBasedEnsemblePlayer,Catan_2
-842409449,Catan,27,GAME_OVER,546,0,4,50,Catan_2,5.0,10.0,5.0,6.0,Catan,PhaseBasedEnsemblePlayer,Catan_3,3,Catan_2,3,1,1,3,3,2,Catan,2,PhaseBasedEnsemblePlayer,Catan_3,Catan,Catan_2,Catan_3,PhaseBasedEnsemblePlayer
1637796132,Catan,25,GAME_OVER,520,2,4,51,Catan_3,5.0,3.0,4.0,10.0,Catan,PhaseBasedEnsemblePlayer,Catan_2,2,Catan_3,2,4,4,3,3,1,Catan,1,PhaseBasedEnsemblePlayer,Catan_2,Catan,Catan_3,Catan_2,PhaseBasedEnsemblePlayer
